id,title,artist,genre
162,Black Soul,Smoke,电音
163,Melodic Minor（Phonk）,VZEUS,电音
164,Vem Vem,Jmilton/MC Xangai,电音
165,nobody (make me feel),oskar med k/Khalid,电音
166,1-800,bbno$/Ironmouse,电音
167,No Broke Boys,Disco Lines/Tinashe,电音
168,Open Eyes(PHONK),GTR7,电音
169,Montagem Nada Tropic,"Little Mu, Music Producer",电音
170,ACELERADA,sma$her/MXZI,电音
171,MANGATA,GTR7,电音
172,MONTAGEM XONADA 2,Lunak/iphonk,电音
173,MONTAGEM SEM PARA 2,Lunak,电音
174,VAI TOMA TOMA (MENTE MA),7YE,电音
175,绝对压制 Absolute suppression(压制 手法 绝境 突破 自我),BOY,电音
176,PASSO FUNK,Lunak,电音
177,Montagem Supersonic,Khaos/Jmilton/Mc Jaja,电音
178,Vai Toma(PHONK),GTR7,电音
179,MANGATA(绝对压制),GTR7,电音
180,AMICAMA(PHONK),GTR7,电音
181,THE SILENCE,sleepyyer,电音
182,Vem Vem V2,DT LEXNAT,电音
183,OVERLOAD!,ASMODEUS/DEITIES,电音
184,UwU Funk,Lunak,电音
185,Crystal Obsidian,KNSRK,电音
186,MANGAT Kill（PHONK）,HiLXG,电音
187,MEMORIZING,DJ DELACROIX/OXXED/Wintherduud,电音
188,Officially Cool (Vanto Remix),方艺潭/WINTER,电音
189,MONTAGEM,Ex_smt,电音
190,Teenage Dreams,Lazer Boomerang,电音
191,the king3(排山倒海）,Paper.MAN,电音
192,弥渡山歌Phonk House,Pudding_PD,电音
193,An Ode to Time,冻痛/Yaecui^小冉,电音
194,Falling again,Lunak,电音
195,DIA DELÍCIA 2 (Instrument Mix),7YE,电音
196,Got It Now (Phonk),YaKio/Wehti/VZEUS/离离离,电音
197,Montagem Nada phonk,F2FZ,电音
198,murder,Experience,电音
199,Kisses Phone,Lunak,电音
200,HOMAGE FUNK,KIXIA/KREZUS/MC KAIQUE SP,电音
201,Sugar On My Tongue,"Tyler, The Creator",说唱
202,TURN UP,PlaqueBoyMax/Rakai/BunnaB,说唱
203,in my zone,VALORANT/bbno$,说唱
204,DON'T KILL THE PARTY (feat. Quavo & Juicy J),Ty Dolla $ign/Juicy J/Quavo,说唱
205,Tsunami,DJ Snake/Future/Travis Scott,说唱
206,Please Me,Cardi B/Bruno Mars,说唱
207,What Did I Miss?,Drake,说唱
208,Letter To My Block,Lil Tjay,说唱
209,Eu Tô Fazendo uma Mágica,Gordinho Bolado/Felipe Original,说唱
210,ErrTime (feat. Jeezy) [Remix],Cardi B/Jeezy,说唱
211,DAMIDAMI,Sihan/三Z-STUDIO/HOYO-MiX,ACG
212,JANE DOE,米津玄師/宇多田ヒカル,ACG
213,耀斑,HOYO-MiX/YMIR,ACG
214,拂晓 Proi Proi,HOYO-MiX/NIDA,ACG
215,IRIS OUT,米津玄師,ACG
216,Little Bouquet,Aimer,ACG
217,提瓦特民谣,宴宁/XY大甘蔗/柳知萧/闫夜桥/陶典/孙晔,ACG
218,新月的摇篮曲（其一）：伴月同眠 Lullaby of the New Moon (I): Somnias a Luna,HOYO-MiX,ACG
219,When We Were the Most Beautiful,ヒグチアイ/塞壬唱片-MSR,ACG
220,うつくしじごく,Reol,ACG
221,挪德卡莱 Nod-Krai,AURORA/HOYO-MiX,ACG
222,TIAN TIAN,Mili,ACG
223,Pastoral,Aimer,ACG
224,in your blue eyes,Ave Mujica/塞壬唱片-MSR,ACG
225,VISIONS （『仮面ライダーゼッツ』主題歌）,NAQT VANE,ACG
226,Let's Go!! Rider Kick (TeddyLoid Edit),TeddyLoid,ACG
227,MAGIC,Ado,ACG
228,革命道中 - On The Way,アイナ・ジ・エンド,ACG
229,BATTLEPLAN ARCLIGHT,塞壬唱片-MSR/Alaina Cross,ACG
230,反常光谱,塞壬唱片-MSR/Camilo Forero,ACG
231,致以无名的抗争者,鸣潮先约电台/jixwang/Thena A/Tarokiki/VISION SOUND,ACG
232,RUNNING FOR YOUR LIFE,鸣潮先约电台/Casey Lee Williams,ACG
233,エガクミライ,MyGO!!!!!,ACG
234,Sealed,塞壬唱片-MSR/Talyr Renee/Erik Castro/David Lin,ACG
235,于深空见证的,恋与深空/张韶涵,ACG
236,Little Bouquet (Instrumental),Aimer,ACG
237,晚祷的铃歌 Dzwony na nieszpory,HOYO-MiX,ACG
238,ムリムリ進化論,七音阿卡莉,ACG
239,ありふれてたい,花譜,ACG
240,再会,Vaundy,ACG
241,My Color,DAIKI(AWSM.),ACG
242,不及,苏诗丁/三Z-STUDIO/HOYO-MiX,ACG
243,"My Curse, My Fate (Destin et malédiction)",宫阁/三Z-STUDIO/HOYO-MiX,ACG
244,Paper Boat,塞壬唱片-MSR/chengcheng/Maria Landi,ACG
